iter	Passed	Remaining
0	63	12575
1	119	11821
2	173	11366
3	229	11234
4	288	11234
5	341	11037
6	391	10804
7	437	10494
8	476	10119
9	521	9903
10	567	9758
11	613	9609
12	657	9452
13	700	9302
14	740	9135
15	781	8987
16	826	8893
17	877	8875
18	929	8854
19	977	8795
20	1025	8739
21	1068	8644
22	1110	8544
23	1149	8429
24	1177	8239
25	1217	8144
26	1258	8061
27	1301	7994
28	1343	7922
29	1389	7872
30	1425	7773
31	1460	7665
32	1501	7600
33	1550	7569
34	1602	7553
35	1666	7592
36	1717	7568
37	1755	7482
38	1801	7435
39	1848	7394
40	1901	7372
41	1956	7359
42	2003	7315
43	2054	7284
44	2107	7258
45	2153	7211
46	2201	7165
47	2248	7121
48	2292	7063
49	2332	6997
50	2374	6937
51	2390	6803
52	2434	6753
53	2475	6692
54	2521	6647
55	2570	6610
56	2623	6582
57	2673	6545
58	2723	6509
59	2772	6469
60	2834	6458
61	2887	6427
62	2945	6405
63	2985	6344
64	3029	6292
65	3072	6238
66	3122	6198
67	3167	6149
68	3206	6088
69	3252	6039
70	3296	5988
71	3338	5935
72	3388	5894
73	3442	5861
74	3503	5838
75	3549	5791
76	3597	5746
77	3643	5698
78	3683	5641
79	3728	5592
80	3772	5542
81	3814	5489
82	3859	5440
83	3916	5409
84	3972	5374
85	4027	5338
86	4074	5291
87	4121	5246
88	4167	5197
89	4210	5145
90	4250	5091
91	4296	5044
92	4339	4992
93	4383	4942
94	4429	4896
95	4478	4851
96	4531	4811
97	4590	4778
98	4628	4722
99	4682	4682
100	4729	4636
101	4787	4599
102	4839	4557
103	4890	4514
104	4942	4471
105	4990	4425
106	5047	4387
107	5098	4343
108	5141	4292
109	5198	4253
110	5244	4204
111	5290	4157
112	5353	4121
113	5398	4072
114	5447	4026
115	5496	3980
116	5545	3933
117	5589	3884
118	5635	3835
119	5680	3786
120	5727	3739
121	5776	3693
122	5824	3646
123	5873	3599
124	5923	3554
125	5967	3504
126	6010	3454
127	6054	3405
128	6100	3357
129	6142	3307
130	6192	3261
131	6217	3203
132	6269	3158
133	6317	3111
134	6357	3060
135	6403	3013
136	6443	2963
137	6485	2913
138	6536	2868
139	6589	2823
140	6636	2776
141	6686	2731
142	6728	2681
143	6774	2634
144	6815	2585
145	6862	2538
146	6906	2490
147	6953	2443
148	6999	2395
149	7043	2347
150	7090	2301
151	7113	2246
152	7153	2197
153	7199	2150
154	7240	2102
155	7286	2055
156	7327	2006
157	7379	1961
158	7425	1914
159	7473	1868
160	7518	1821
161	7562	1773
162	7602	1725
163	7646	1678
164	7673	1627
165	7714	1580
166	7759	1533
167	7804	1486
168	7849	1439
169	7884	1391
170	7924	1343
171	7966	1296
172	8007	1249
173	8057	1203
174	8099	1157
175	8147	1110
176	8168	1061
177	8204	1014
178	8250	967
179	8299	922
180	8342	875
181	8390	829
182	8440	784
183	8495	738
184	8531	691
185	8581	645
186	8624	599
187	8677	553
188	8722	507
189	8773	461
190	8822	415
191	8872	369
192	8917	323
193	8964	277
194	9006	230
195	9048	184
196	9089	138
197	9137	92
198	9183	46
199	9219	0
